#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.720000e+00
#! SET NORMALIZATION  2.813048e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.217326e-01 -2.695850e-01 1.003423e-02
ROW1_psi1 -2.694132e-01 3.467636e-01 -1.471572e-02
ROW2_theta1 8.705411e-03 -1.383920e-02 3.123187e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.760000e+00
#! SET NORMALIZATION  2.813008e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.183561e-01 -2.650448e-01 9.909773e-03
ROW1_psi1 -2.656674e-01 3.411505e-01 -1.427562e-02
ROW2_theta1 8.563080e-03 -1.332521e-02 2.910507e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.800000e+00
#! SET NORMALIZATION  2.812968e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.149709e-01 -2.609545e-01 9.768009e-03
ROW1_psi1 -2.616787e-01 3.345201e-01 -1.369991e-02
ROW2_theta1 8.403194e-03 -1.278747e-02 2.702822e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.840000e+00
#! SET NORMALIZATION  2.812928e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.117631e-01 -2.567624e-01 9.595020e-03
ROW1_psi1 -2.576838e-01 3.279106e-01 -1.322442e-02
ROW2_theta1 8.230914e-03 -1.246487e-02 2.509777e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.880000e+00
#! SET NORMALIZATION  2.812888e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.084830e-01 -2.527548e-01 9.470953e-03
ROW1_psi1 -2.538721e-01 3.221279e-01 -1.300789e-02
ROW2_theta1 8.081082e-03 -1.206734e-02 2.338072e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.920000e+00
#! SET NORMALIZATION  2.812848e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.053364e-01 -2.485329e-01 9.314151e-03
ROW1_psi1 -2.498312e-01 3.169717e-01 -1.275911e-02
ROW2_theta1 7.968569e-03 -1.171946e-02 2.187206e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  1.960000e+00
#! SET NORMALIZATION  2.812808e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 2.023777e-01 -2.447999e-01 9.193696e-03
ROW1_psi1 -2.458311e-01 3.112740e-01 -1.236942e-02
ROW2_theta1 7.847463e-03 -1.132339e-02 2.028332e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.000000e+00
#! SET NORMALIZATION  2.812768e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.993741e-01 -2.410086e-01 9.048868e-03
ROW1_psi1 -2.417583e-01 3.064521e-01 -1.209576e-02
ROW2_theta1 7.804904e-03 -1.111424e-02 1.890254e-03
#! FIELDS MATRIX COL0_phi1 COL1_psi1 COL2_theta1
#! SET DIMENSION  3
#! SET NPOINTS  101
#! SET LAG_TIME  2.040000e+00
#! SET NORMALIZATION  2.812728e+03
#! SET phi1_mean  -1.777236e+00
#! SET psi1_mean  1.703667e+00
#! SET theta1_mean  -5.539512e-03
ROW0_phi1 1.963164e-01 -2.373026e-01 8.917337e-03
ROW1_psi1 -2.378768e-01 3.011705e-01 -1.193090e-02
